nome_ou_razao_social,dia_vencimento,cnpj,email,cep,endereco,numero,bairro,cidade,estado,endereco,país,identificador
COLÉGIO NOTRE DAME,20,60993193001122,aguesse@notredamecampinas.com.br,13.092-621	,R EGBERTO FERREIRA DE ARRUDA CAMARGO ,151,PQ. DA HÍPICA,CAMPINAS,SP,R EGBERTO FERREIRA DE ARRUDA CAMARGO ,Brasil,10
STELLA MARIS,20,60533940000844,tesouraria@colstellamaris.com.br,11.045-003,AV CONSELHEIRO NEBIAS,771,BOQUEIRÃO,SANTOS,SP,AV CONSELHEIRO NEBIAS,Brasil,61
ANGLO ITU,10,50366285000157,fabio@angloitu.com.br,13.300-063,PC DA INDEPENDENCIA,151,CENTRO,ITU,SP,PC DA INDEPENDENCIA,Brasil,66
COLÉGIO PASSIONISTA - SÃO PAULO DA CRUZ,10,76731033000335,economado.saopaulodacruz@passionista.com.br,02.304-001	,AV TUCURUVI,470,TUCURUVI,SÃO PAULO,SP,AV TUCURUVI,Brasil,106
SANTA MARINA,10,43860402000179,daniel@santamarina.edu.br,03.422-001,AV GUILHERME GIORGI,430,VILA CARRAO,SÃO PAULO,SP,AV GUILHERME GIORGI,Brasil,83
COLÉGIO´S MARQUÊS DE MONTE ALEGRE,10,54199070000140,milena@colegiomarques.com.br,04.375-050	,R CORIOLANO DURAND,485,VILA SANTA CATARINA ,SÃO PAULO,SP,R CORIOLANO DURAND,Brasil,85
COLÉGIO PASSIONISTA - SÃO GABRIEL,10,60919909000412,ir.arlete.balarini@passionista.com.br,11.310-260,R DJALMA DUTRA ,100,CENTRO,SÃO VICENTE,SP,R DJALMA DUTRA ,Brasil,104
COLÉGIO PASSIONISTA - SANTA GEMA,10,60919909000331,rbezerra.santagema@passionista.com.br,02.370-020        ,R ANTONIO PESTANA ,115,TREMEMBÉ,SÃO PAULO,SP,R ANTONIO PESTANA ,Brasil,107
COLÉGIO PASSIONISTA - SANTA MARIA,10,60919909001737,ir.aline.silva@passionista.com.br,11.725-310        ,R DOUTOR LOBO VIANA ,514,TUDE BASTOS ,PRAIA GRANDE ,SP,R DOUTOR LOBO VIANA ,Brasil,108
NOVO ESPAÇO,10,01502480000151,cnesecretaria_thaty@yahoo.com.br,04.384-032,R CONDE MOREIRA LIMA ,644,JABAQUARA,SÃO PAULO,SP,R CONDE MOREIRA LIMA ,Brasil,101
COLÉGIO SAA,10,62661939000154,crd@saa.com.br,02.018-000,R AMARAL GAMA,185,SANTANA,SÃO PAULO,SP,R AMARAL GAMA,Brasil,97
COLÉGIO ORLANDO GARCIA,10,45290996000155,colegioorlandogarcia@terra.com.br,02.960-020,R MANUEL MADRUGA,110,FREGUESIA DO O,SÃO PAULO,SP,R MANUEL MADRUGA,Brasil,125
COLÉGIO GUILHERME DE ALMEIDA,10,51253946000109,yoshiko@guilhermedealmeida.com.br,07.051-001,AV EMILIO RIBAS,855,GOPOUVA,GUARULHOS,SP,AV EMILIO RIBAS,Brasil,131
COLÉGIO AUTÊNTICO,10,07914563000134,financeiro@colegioautentico.com.br,07.124-000,R BENJAMIM HARRIS HANNICUTT,1500,VILA RIO DE JANEIRO,GUARULHOS,SP,R BENJAMIM HARRIS HANNICUTT,Brasil,169
ESCOLA PROJETO VIDA,10,12508534000102,marciateixeira@projetovida.com.br,02.535-010	,R ARTUR DE OLIVEIRA,243,PARQUE PERUCHE,SAO PAULO,SP,R ARTUR DE OLIVEIRA,Brasil,164
INSTITUTO BARONEZA DE REZENDE,10,43975465000332,contato@baronezaderezende.com,13.405-220,AV BARAO DE SERRA NEGRA,375,VL REZENDE,PIRACICABA,SP,AV BARAO DE SERRA NEGRA,Brasil,152
COLÉGIO RAPOSO TAVARES,10,53524658000169,comunicacao@colegioraposotavares.com.br,05.572-180,R JUAN ALFONSECA,11,PARQUE IPE,SÃO PAULO,SP,R JUAN ALFONSECA,Brasil,123
COLÉGIO BATISTA DA PENHA,10,12081243000180,tesouraria@batistapenha.com.br,03.637-010,R PEREQUE,150,PENHA DA FRANCA,SÃO PAULO,SP,R PEREQUE,Brasil,170
VILLA DOS IDIOMAS,10,03108419000150,celia@villadosidiomas.com.br,08.120-030,R MANUEL DE CASTILHO,57,ITAIM PAULISTA,SÃO PAULO,SP,R MANUEL DE CASTILHO,Brasil,183
COLÉGIO NOVO TEMPO,10,01742157000155,ana@novotempocolegio.com.br,02.512-060,R HORACIO VERGUEIRO RUDGE,355,CASA VERDE,SÃO PAULO,SP,R HORACIO VERGUEIRO RUDGE,Brasil,203
ESCOLA SER,20,51862852000129,financeiro@escolaser.com.br,13.042-110,AV JOSE ADEMAR ETTER,709,VILA MARIETA,CAMPINAS,SP,AV JOSE ADEMAR ETTER,Brasil,230
COLÉGIO DOM AMANDO,10,60993193001203,tesouraria@cda-pa.g12.br,68.005-530,PC BARAO DE SANTAREM,1,CENTRO,SANTARÉM,PA,PC BARAO DE SANTAREM,Brasil,223
COLÉGIO DROMOS,,,,,,,,,,,Brasil,
COLÉGIO SANTA CRUZ,10,03442547000135,dejanete@colegiodromos.com.br,70.673-350,ST SHC/SW EQSW 303/304,3,SUDOESTE,BRASILIA,DF,ST SHC/SW EQSW 303/304,Brasil,200
