id_sacado_sac,st_nome_sac,planos[0][plano],planos[0][notificar_cliente],planos[0][não_notificar_primeiro_pagamento],opcionais[0][produto],opcionais[0][qtd],opcionais[0][valor],contratação
110,4O. Centen�Rio,1,0,1,999999982,1,"750,00",16/06/16
,Achieve Languages- Altamira,1,0,1,999999982,1,"0,00",30/09/16
88,Adcam,1,0,1,999999982,1,"95,00",18/04/16
180,Adsum (Discere),1,0,1,999999982,1,"0,00",15/09/16
102,Adventista(Iju�),1,0,1,999999982,1,"150,00",20/05/16
138,Almanac,1,0,1,999999982,1,"450,00",15/06/16
104,Alvorada Plus,1,0,1,999999982,1,"1.040,00",25/05/16
121,Angeles,1,0,1,999999982,1,"995,00",15/06/16
94,Anglo Aldeia Da Serra,1,0,1,999999982,1,"580,00",13/05/16
166,Anglo Araras,1,0,1,999999982,1,"1.300,00",01/08/16
69,Anglo Catavento,2,0,1,999999982,1,"170,10",04/12/15
60,Anglo Cerquilho,2,0,1,999999982,1,"236,25",04/12/15
51,Anglo Infantil Boituva,2,0,1,999999982,1,"150,75",10/12/15
47,Anglo Infantil Tatu� (Toca Do Le�O),2,0,1,999999982,1,"151,20",01/12/15
4,Anglo Itu,2,0,1,999999982,1,"1.587,82",03/03/15
28,Anglo Sorocaba,2,0,1,999999982,1,"1.783,50",05/10/15
48,Anglo Tatu�,2,0,1,999999982,1,"807,03",02/12/15
226,Antares De Americana,1,0,1,999999982,1,"1.554,00",30/11/16
49,Antonio Ribeiro Feitosa,4,0,1,999999982,1,"700,00",11/12/15
233,Apogeu,1,0,1,999999982,1,"0,00",07/12/16
223,Aprender,1,0,1,999999982,1,"0,00",21/11/16
131,Apta Baby Kids,1,0,1,999999982,1,"195,00",28/06/16
207,Aquarela  - Editar ,1,0,1,999999982,1,"0,00",08/11/16
163,Arraial Das Cores,1,0,1,999999982,1,"250,00",18/07/16
152,Arte De Conhecer,1,0,1,999999982,1,"395,00",24/06/16
200,Assessconti,1,0,1,999999982,1,"165,00",10/10/16
224,Ativamente School,1,0,1,999999982,1,"0,00",29/11/16
143,Atualidade,1,0,1,999999982,1,"395,00",15/06/16
178,Baby Home,1,0,1,999999982,1,"0,00",15/09/16
148,Baby Nurse,1,0,1,999999982,1,"195,00",07/06/16
194,Bcz (Achieve - Poa),1,0,1,999999982,1,"0,00",23/09/16
186,Beka,1,0,1,999999982,1,"0,00",15/09/16
133,Bertolazzi,1,0,1,999999982,1,"395,00",15/06/16
76,Brasil Objetivo,1,0,1,999999982,1,"875,00",02/05/16
201,Brincando E Aprendendo,1,0,1,999999982,1,"250,00",14/10/16
84,Builders,1,0,1,999999982,1,"600,00",04/05/16
56,C.r.e.i. Deo Juvante,1,0,1,999999982,1,"145,00",19/11/15
172,Camb- Caminho Aberto,1,0,1,999999982,1,"880,00",26/08/16
147,Canello Marques,1,0,1,999999982,1,"1.250,00",30/06/16
130,Carand� Viva Vida,1,0,1,999999982,1,"1.180,00",30/06/16
189,Castelo Kids,1,0,1,999999982,1,"195,00",14/09/16
179,Cb,1,0,1,999999982,1,"0,00",15/09/16
71,Ceduca,1,0,1,999999982,1,"950,00",20/01/16
225,Cei Havita,1,0,1,999999982,1,"0,00",30/11/16
103,Cemac,1,0,1,999999982,1,"380,00",21/05/16
34,Centro Educacional Mabel,2,0,1,999999982,1,"898,13",03/11/15
38,Col�Gio Albert Sabin,2,0,1,999999982,1,"950,00",15/04/15
33,Col�Gio Andrade Dorigon,2,0,1,999999982,1,"577,53",26/10/15
39,Col�Gio Antares,2,0,1,999999982,1,"434,66",05/11/15
15,Col�Gio Aut�Ntico,2,0,1,999999982,1,"560,68",03/06/15
19,Col�Gio Batista Da Penha,2,0,1,999999982,1,"1.003,86",22/06/15
27,Col�Gio Da Vinci,2,0,1,999999982,1,"693,53",24/09/15
23,Col�Gio Dom Amando,2,0,1,999999982,1,"3.260,25",15/04/16
24,Col�Gio Dromos,2,0,1,999999982,1,"812,00",17/01/16
44,Col�Gio Evolu�ÃO Objetivo,2,0,1,999999982,1,"231,42",26/11/15
54,Col�Gio Futura,2,0,1,999999982,1,"1.079,96",30/11/15
50,Col�Gio Futuro Feliz,2,0,1,999999982,1,"1.780,86",11/12/15
14,Col�Gio Guilherme De Almeida,2,0,1,999999982,1,"2.314,74",28/05/15
53,Col�Gio Maria Antônia De Moura,2,0,1,999999982,1,"1.260,28",26/11/15
2,Col�Gio Notre Dame,2,0,1,999999982,1,"2.718,36",22/12/15
21,Col�Gio Novo Tempo,2,0,1,999999982,1,"642,00",14/07/15
13,Col�Gio Orlando Garcia,2,0,1,999999982,1,"496,08",12/05/15
9,Col�Gio Passionista - Santa Gema,2,0,1,999999982,1,"480,94",04/05/15
10,Col�Gio Passionista - Santa Maria,2,0,1,999999982,1,"586,58",04/05/15
8,Col�Gio Passionista – São Gabriel,2,0,1,999999982,1,"371,28",04/05/15
5,Col�Gio Passionista – São Paulo Da Cruz,2,0,1,999999982,1,"1.607,40",31/03/15
